nama_produk,nama_shade,text_final
Ointment,Grape,pure paw paw ointment grape rupa ointment serbaguna kaya nutrisi atas bagai masalah kulit bibir how to use aplikasi tipis tipis area kering alami luka ringan efek maksimal guna sering mungkin perhati henti guna jadi iritasi pakai luarsuitable for kulit keringingredients sodium benzoate potassium sorbate petrolatum flavour cera alba carica papaya fruit extract baru banget beli karna diskon jadi k watsons jauh aku sukaa banget lembabnya sampe jam jam cuman apply dikit ga reapply bakal awet sih tekstur berat kalo banding lip balm gak menganggu banget kena panas dikit cair aman sih tinggal dimasukin kulkas sangattt bagusss sekaliii bibir aku gampang banget kering sangat melembabkan aku sering pakai malam hari soal kalau pagi biasa aku pakai lip balm spf kalau pakai pas tidur pagi bibir auto lembab bgtt wangi enak semua si jadi aku suka ganti ganti varian my fav product bibir tipe super kering suka ngelopek pake suprisingly sangat bantu melebabkan bibir segi tekstur wangi enak banget jauh baru pernah nyoba strawberry grape turut lebih enak strawberry masuk best purchasing akuuu love it jujur produk bagus bangetttt ngebantu melembabkan bibir ku super kering entah pakai bibir rasa jauh lebih lembut halus pecah pecah kemarin beli yg wangi strawberry sekarang grape repurchase pokok produk sellalu aku bawa mana aku pergi wkwkwk siapa sih gatau sama produk cinta semua orang aku suka sama tube gampang bawa mana gampang aplikasi super awet buat fungsi sangat bantu aku si kulit kering jadi lembab buat bibir bahkan wajah produk yg wajib beli awet bangetttttt sampe expired blm habis aku biasa pake sblm pake lipstick sblm tidur suka sih sm tekstur rasa mirip permen gt drpd yg ori lebih suka tp aku akhir coba varian jg krn penasaran wkwkwkw udah tahun lebih pakai habis habis baca deskripsi sih dipake beberapa bagi tubuh kaya bibir kulit kering kutikula alis kalo aku cuma pakai bibir jadi awet banget sesuai varian ointment bau anggur sayang pas diratain jadi bau pahit pahit gitu efek lama pakai bikin bibir jadi lembut ga kering lembabnya awet pas bawa tidur minus pas sisa tengah pencet yg keluar minyak doang padahal ga lg leleh panas kemas produk tuh tebel banget sangking tebelnya pas produk sisa dikit jadi susah dikeluarin pencet mau gunting sayang krn dipake beberapa kali dapet pas workshop lip chain gemech aesthetic produk pure paw paw ointment lipbalm pas event sociolla museum beauty produk import australia gr ukur packging unik
Lip Butter,Cocoa,nivea lip butter cocoa melembabkan beri awat intensif tahan lama bibir lengkap aroma rasa cokelat nikmat sensasi lembut tekstur creamy shea butter almond oil manja bibir aplikasi bibir asa halus lembut lihat sehat how to use aplikasi nivea lip butter guna jari seluruh bibiringredients petrolatum polyglyceryl diisostearate butyrosperum parkii shea butter ricinus communis castor seed oil prunus amygdalus dulcis sweet almonst oil water glycerin glyceryl glucoside bht titanium dioxide hmmm lipbalm sekian aku coba brand nivea sayang nya sama aja gak ngefek bibir kering ku varian nyoba nya udh lama bgt jaman mas sekolah gtau deh model apa gak wangi nya cocoa kl aku si ga ganggu hmm tp gitu ga melembabkan samsek produk nivea bagus sih gak banyak komen ttg produk bagus banget yg lo tau tim lipstik matte butuh banget biar bibir ga cepet ngelupas kering hitam ngehydrate banget bibir setelahdipake jadi halus lembut sekali disa dipake exfoliate campur gula madu sekian asa ga abis abis padahal kecil kemas asa awet paling suka wangi sih kalo buat tekstur berat jadi aku pakenya tipis kali yg bikin ga abis kaya bibir jadi lebih cerah jg warna kl pake aroma enak banget tipikal lip care mirip produk banyak jual pasar aku pakai udah beberapa tahun lalu bantu melembabkan kulit bibir sejak pakai aku pernah ngalamin bibir kering kerontang ngelopek rasa texturnya lumayan tebal jadi aku selalu pakai tipis tipis aja malam hari minus aplikator jadi tinggal colek aja jadi pasti jari bersih cuman pakai sedikit jadi tuh hemat banget pakai bulan harga jangkau mudah dapat yesss aku sangat rekomendasi buat kalian yy bibir mudah kering semua kondisi cuaca lingkung yg udah rasa bibir berat meski cuma pake lip tint ga cocok samsek sama lip cream kulit bibir yg super duper kering pake ga rasa berat samsek paling penting tahan lamaa lembabnyaa sebenernya suka banget sama produk lembabnya dapet wangi aku suka wangi coklat gitu texturenya balm gampang diratain cuma minus jar gak spatula jadi ambil pake jari tangan aku jadi kurang higenis gitu sih harga murah awet banget efek ngelembapin nya dapet banget siih habis mandi mau touch up lipstick lip cream liptint pakai dulu bikin jadi lebih awet mau cocoa blueberry sama enak nya packing nya tuh compact jadi enak bawa ga makan banyak tempat pouch efek melembabkannya dapet banget ga terlalu bikin bibir tebal ga nyaman tetep diblot sih kalau mau pake lipstik paling nyaman so far banding lipbalm lain sayang packagingnya bikin susah buat reapply sering bgt jd kotor susah ngebersihinnya btw wangi cocoanya enak bgt wangi nya enak banget ngelembapin bibir jadi jarang kering kalo pake rutin cuma isi banyak banget kalo ga rajin makenya keburu expaired sayang bgt minus packagingnya ajasi kaya kaleng gt jadi susah buka sama gada spatula kurang higenis aja si jadi aku kira lebih melembabkan dr lipbalmnya yg stick tp nyata malah bikin lebih cepet kering sampe bikin bibir ngelopek kyk sariawan bibir jd bentol gitu aku henti pakai lipbalm sticknya yg biru bibir sehat gatau deh kandung apa yg bikin bibir ga cocok
Fruity Lip Balm,Cherry,lip ice fruity lip balm rupa produk kaya fruity yoghurt bibir pecah pecah ekstra lembab lembut spf vitamin e jaga bibir mu pengaruh buruk sinar matahari sensasi dingin menthol aroma buah sangat goda cerah hari how to use aplikasi bagi bibirsuitable for semua jenis kulitingredients mineral oil ozokerite petrolatum octyl methoxycinnamate salicylate lanolin flavour dimethicone menthol camphor beli lip ice spf nya harga masuk jangkau aku pakai pagi aja emang spf nya packagingnya slim bagus pas diaplikasiin seger gitu bibir ga warna melembabkannya oke kalau ga kering banget ga lengket jadi bagus buat timpa lip cream lain wajib nyoba kalau nyari lip balm spf nya aroma wangi ga terlalu sengat aroma aroma manis gitu pas beli baca komposisi gak petrolatum deskripsi produk tpi cek kemas asa tebal ga bikin gerah yg kemas baru spf nya pa ceunah jdi ku pakai outdoor lama outdoor emg bantu jaga kondisi bibir aku sih skrg lgi kemarau yaaah matahari lgi terik terik lip balm andal sejak jaman sma cooling sensation ngga ganggu banget buat ngelembabin bibir pas puasa gin cocok banget sih moistnya oke banget jadi bibir pecah pecah pake bener bener jadi alus banget baru banget nyoba varian cherry aku suka varian pas swipe warna pink natural gitu daya lembabnya oke aku pake udah reformulasi spf nya cukup tinggi spf pa dipake makeup atau reapply banget cocok banget buat anak sekolah harga sangat masuk kantong anak sekolah warna cantik ga terlalu colok wangi enak udah spfnya jadi bagus pakai sekolah hari kena sinar matahari suka cherry deh dicobain rasa wangi cherry nya gitu pas sekali swipe bentuk lip balmnya mudah banget pas mau pakai color change warna pink natural bibir gitu gak lebay jadi liat tambah fresh packagingnya sangat remaja sekali yaa gradasi warna pink cute abis super slim haha masuk mini bag aku siapa bibir kering males banget buat kasi lip balm tenang we listen we don t judge aku mau kasi rekomendasi nih buat kalian males pakai lipbalm plain kalian coba sih lip ice soal udah melembabkan area bibir lip balm sensasi dingin ga cuma paling aku suka variant cherry wangi enak soft warna ampunnnn aku suka bangettt bikin seger bibir jadi penasaran kan nah langsung aja deh cobain
Lip Therapy Stick,Cocoa Butter,vaseline lip therapy buat vaseline jelly murni atas masalah bibir kering kusam pecah pecah formula beri lembut tenang kunci kelembaban bibir hindar kering how to use aplikasi rata seluruh bibir guna jari tangansuitable for semua jenis kulitingredients petrolatum flavor
Lip Care,Peach Caramel,khalisa lip care rupa awat bibir mampu melembabkan bibir produk kandung beeswax shea butter olive oil bibir tetap lembab produk kandung spf bibir tetap lindung sinar uv vitamin e bibir tetap sehat nutrisi how to use ulas atas bawah bibir suitable for ingredients polybutene octyldodecanol ozokerite isopropyl palmitate olea europaea olive fruit oil petrolatum ethylhexyl methoxycinnamate cera alba ethylhexyl salicylate diisostearyl malate butyrospermum parkii butter titanium dioxide polyethylene vp hexadecene copolymer flavor ci tocopheryl acetate ci ci lip balm khalisa pakai packaging putar tekstur buttery aroma manis lembut spf jadi cocok buat pakai sbg daily sun protection buat yg aktivitas indoor waktu oles glides nya gak se smooth lip balm yg biasa aku pakai bibir rasa greasy gitu aku pribadi kurang suka lip balm light tint warna peach hampir gak lihat kalo cuma kali swatch lembabnya biasa aja overall it s a good product but i prefer lip balm yg gak greasy tekstur kaku kalau banding lip ice lip on lip yg sama sama produk rohto keras kokoh bagus sih gak gampang leyot patah kayah lip ice lip on lip kesan aku sulit satu pulas bibir warna gak nempel kurang klop sama bibir kalo bibir kering awal apply jadi kek ngeliatin bener bibir kering kalo bibir lembab warna gak nempel bagus aku suka tuh wangi enak caramel gitu jadi penget tak makan enak banget melembabkan mayan sih spfnya jadi aman buat ketemu matahari tekstur balmy yg sedit thick lembut bibir feels nya kalo bibir aku sedikit minyak tetap nyaman beri sedikit warna peach bibir wangi enak vanila karamel efek melembabkannya dapet tahan lama jam betul ken cari lipbalm krn akhir bibir ku kering kasar lah khalisa dr gift khalisa produk keluar rohto sama lip ice kemas khalisa pink pastel rasa peach caramel coba enak lembut bibir melembabkan ga ribet bawa mana biasa ny kalau bibir kering aku olesin ku pake mau tidur beli lipbalm gegara cari lipbalm spf nya kemas plastik bentuk kayak lipstick biasa tekstur lembut bau nya caramel warna peach travel friendly lumayan bikin bibir aku lembab lama jam iti reapply kalau gak bibir jadi kering baru pertama kali make si pas coba aplikasi tangan warna cantikk bgt pas coba bibir kurang liat warna jd kalo aku makenya banyak biar liat warna cantik wangi enakk aroma enak banget suka banget warna waktu swatches pas apply bibir sayang ga terlalu liat buat aku tekstur terlalu matte buah lip care ga melembabkan cenderung crack jujur warna lucu sih lebih oranye trus rada glossy gitu wangi enak warna kaya kurang rata gitu kalo bibir betul ngelupas jadi kaya liat banget gitu kalo kondisi bibir normal yaa bagus sih padahal suka sih ama warna kapan ken beli rada susah ditemuin caramel sebenernya waktu nyari maybelline baby lips cuman gatau barang sold jadi beli tarik aja gitu aku kira nama doang caramel nyata wangi productnya caramel bgttt suka pas aku apply bibir gatau aku kurang suka ga sesuai sama nama harus lip balm kan aku ngerasa lebih lipstick gitu jadi akhir aku alih fungsiin buat ombre sama liptint aja buat sekolah oke bgt warna calm sesuai warna bibir sebenernya nyari lip ice tp ada penasaran bgt lip product tp rasa caramel warna goda banget akhir ku beli pas buka bener bener wangi enak bangett pas dipakein bibir ga lengket cocok banget dipake hari cukup melembabkan kadang aku pake buat highliter bagus bgttt
Lip Therapy Tin,Rosy Lips,vaseline lip therapy rosy lips tin bukti klinis bantu atas masalah bibir kering beri kelembaban tahan lama formula lengket minyak kaya aroma mawar vanilla red berry manis beri hasil natural kilau bibir glossy finish how to use aplikasi rata bibir guna jari tangansuitable for bibir keringingredients petrolatum flavor aroma titanium dioxide ci red ci i love this product so much that i use this for everyday everybody should use this product daily for maximum benefit and result mantap jiwa mantap ngomong ap lg yah udh sih pokok semua beli semua org beli yaaa drugstore fav kalian lip balm super lembap bikin bibir asa halus ketika tekstur berat gampang resap kalau bibir lg kering parah selamat packaging tin nya lucu praktis buat bawa mana mana suka banget sih pakai bener bener bikin bibir jadi lembab efek cerah buat bibir plpy sehat alami efek pinkish bikin bibir jadi lihat merah jambu pink alami pokok recomended sekali pakai variant karna pink pink nya gitu lip care vaseline satu sangat bagus aku udah pake lama sampe sekarang stay sama product satu sangat sangat atas bibir aku suka kering sangat beri kesan bibir sehat salah satu lip care patut coba aku lama pake gel bibir jadi lebih lembab lebih sehat karna belum kan bibir tuh kering bgt smeenjak pake bibir jadi lebih moisturizing cocok bgt buat bibir kering mau bikin bibir lebih nutrisi bibir jadi gak kering kayak belum worth it sama harga kemas bagus worth ittt cobak buat kalian bibir masalah kering kayak aku cocok banget pakai sm lipcream lipstick must try yukkk under k ngebantu banget buat bikin bibir lembab ga pecah pecah tekstur bagus ga lengket ga bikin bibir lihat minyak cocok pakai malam hari tidur tp pakai aktivitas pagi hari kemas kecil mudah bawa sebeluuummm banget ntobain versi jar tutup biru aku nyobain ko cium wangi enak yaaa wangi kalem gitu tuh tekstur lwmbut enaaakkk ga terlalu bikin oily aku suka yg drpda yg jar tutup biru yaa gtu deh kudu colek dlu wkwkw suka packagingnya mini kalo pergi simple packagingnya upa stick apply aja varian paling aku suka aroma berry vanilla rasa lembut bibir jadi lembab cocok pakai tidur base lip cream bibir pecah bibir kusam vaseline lip therapy packagingnya praktis bawa mana harga jangkau lip therapy guna banget melembabkan bibir super kering biasa aku pakai tidur tekstur ringan gak greasy
Lip Butter,Raspberry Rose,nivea lip butter raspberry rose melembabkan beri awat intensif tahan lama bibir efek warna natural lengkap roma rasa buah raspberry segar nikmat sensasi lembut tekstur creamy shea butter almond oil manja bibir aplikasi bibir asa halus lembut lihat sehat how to use aplikasi seluruh bibir guna jari tanganingredients petrolatum polyglyceryl diisostearate butyrosperum parkii shea butter ricinus communis castor seed oil prunus amygdalus dulcis sweet almonst oil water glycerin glyceryl glucoside bht titanium dioxide red pake pas jaman kuliah suka banget sih aku aroma enak kayak permen sugus manis seger gak ganggu sama sekali tekstur kayak butter bikin bibir langsung lembab greasy sangat efektif kurang bibir kering pecah pecah sedih produk udah discontinued aku sukaaaa bgt sama lip butter nivea rasa belum aku pake shea vanilla cmiiw enak tekstur kaya lip balm umum cukup ngefek buat ngelembabin bibir ku touch up pake lip product biar nempel lip nya efek melembabkan nya dapet banget sama lip care lain warna wangi enak kurang kemas kalau turut kalau mau reapply ribet kemas perlu spatula pisah bibir cuman nempel aja produk jadi halang bibir udara luar kalau bibir kering kayak kurang rekomen pakai kalau ken ngejaga lembap bibir biar kering akibat udara luar banget coba lip butter lebih baik pakai lama tidur jadi lembap bibir tetap jaga pakai pakai lip produk kurang bagus malah asa berat jadi pakai sendiri bukan buat layer bukan lip prep tekstur creamy buttery mudah aplikasi wangi berry nya nyaman pas pake pakai bibir jadi lembab lembut sehat gak mudah kering pecah kurang rekomen pakai lipstick baik pakai tidur aja tahan lama banget lama habis tp minus nya susah pas mau buka nutup packaging nya lip butter nivea udah banyak tau lama aku pernah pakai pas smp so far lip butter works well on my lips very moisturizing wangi fruity lumayan enak aku kurang suka packagingnya model tube gitu bahan kaleng jadi kurang hygenis warna soft pink sheer bgt memang pure melembabkan lip butter isi banyak bgt bgt jadi hemat bulan bulan tahun lebih melembabkan bibir aroma berry seger gitu tekrturnya butery banget jadi creamy bgt melembabkan maksimal packagingnya jar tutup buat logam gitu jadi simpan perhati karna formula gampang melted aku ga suka pake soal pertama packaging nya susah buka dua efek lembab hampir ga susah banget nyerapnya yg kayak lapis luar bibir rasa raspberry an kalo harga cukup affordable isi banyak tahan lama repurchase no
Glass Glow Tinted Lip Balm,Caramel Gloss,scarlett glass glow tinted lip balm rupa lip balm formula in moisturizer plumper gloss bibir jadi makin lembap plumpy kilau kaya peptide vitamin e sodium hyaluronate uv filter bikin bibir sehat hidrasi lindung hari how to use oles bibir kapan butuh extra moisture reapply lebih juicy glowing simpan tempat sejuk jauh sinar matahari langsung tetap awet suitable for ingredients peptide uv filter vitamin e sodium hyaluronate lip balm nya pas aku cobain nyaman banget bibir aku lembabnya pas terus paling aku suka uv filter jadi gaakan buat bibir gelap kena sinar matahari aaaa loveee banget deh sama lip balm packging cakeup liat mewah banget kokoh tutup ala diamond bikin bibir rona lembapin ga bikin kering gitu finishnya glassy kandung peptide bikin bir plumpy stain hampir ga udah uv filter vit e wangi fruity nyaman bibir ga bikin risih berat gitu pokok bikin bibir lembab banget bikin liat mlbb pokok cocok pakai daily buat aku bibir gelap pas banget tetap pede pas pakai pokok luvvvvvvvvvvvvvv sumpah scarlett glow tinted lip balm bener bener bikin bibir jadi lebih lembab sehat plumpy warna cantik banget natural packagingnya cute stainnya cakep mantul jadi daily lip care finishnya glossy love it pokok bagus bgt asli deh nyesel bgt nyesel beli cuma asli deh baru nemu lipbalm se moist cocok banget buat bibir kering pecah yanh suka gonta ganti lipstik banget pake kalian tunggu ayo buru lipbalm bikin lembab bibir aku walaupun tuh warna nya bibir aku yg sensitive ga nimbulin reaksi negative kaya gatel gituu warna banyak cakep bangett bibir cukup hitam aku bakal masuk krn udah diformulasiin bagai macam warna bibir pakai pagi hari mau kampus lanjut apply siang hari buat bibir selalu lembab kenyal tekstur apply lembut gak lengket bibir kemas mewah elegan penting cocok buat kalian punya giat luar bibir selalu nutrisi moist warna caramel gloss natural buat aku finishnya glow and best banget si lip balm tinted
Noera Vita Lip Serum,DESCRIPTION,there s no description for this product beli fomo waktu viral banget kan jadi giur buat beli coba sendiri aku hasil biasa aja sih bikin bibir pink ga tahan lama kaya stain gitu pink nya buat lembap ngga terlalu lembap terus sedikit greasy aku lebih suka lip balm nya noera vita lip serum lumayan oke sebenernya harga kualitas banding udah pake cukup lama aplikasi memang bibir jadi pink pakai lama bibir tetep ga terlalu ubah warna ubah cuma kalau pas diaplikasiin aja ga liat beda jadi repurchase seperti tekstur lip gloss asa lengket bibir walaupun warna bening aplikasi bibir jadi warna pink gitu bibir aku pakai habis rawat bibir tetap lembab tp gak bikin bibir balik warna pink alami sih mungkin coba lip serum brand aku beli tahun pas dipake sekali ngga ngaruh apa apa cuma oili sebentar malah ngga lama jadi super kering bibir aku pikir kurang minum bulan puasa aku coba sekali habit minum yg udah bagus hasil kering kemudian alergi parah dokter makasih loh noera lip serum akhir aku tau aku punya alergi tahun hidup btw beli officialstore main ingredientsnya sweet almond oil ceramide shea butter perfect combo buat melembabkan dipake ngasih hint pink gituu melembabkannya jg oke misal pakenya pas malem pagi bibir jadi kayak pink sehat lembab kalau pas bibir pecah sih aku kurang melembabkan buat daily pagi malem okee bgtt nyaman dipake cakep pertama kali bgt cobain lip serum noera tekstur watery warna asli clear transparant pas guna color changing effect yg ubah jadi warna pink jreng gitu for me lumayan cantik sih warna lama lama ubah jadi lebih pink gelap efek bibir fruity scent gitu sayang jg makin lama kalau terlalu sering pakai serum wangi jadi ubah bau gitu huhu aku kurang suka bgt applicatornya ikut bau pdhl aku pakai bersih ga dimix with anything lip serum ga terlalu melembabkan lumayan bikin bibir aku jadi kering packagingnya sih lumayan lucu warna pink clear gradation gitu so sorry aku big no for repurchase
Bee Power Propolis Glow Lip Serum,DESCRIPTION,somethinc bee power propolis glow lip serum rupa lip serum proteksi lembut bibir superfood bee glow power propolis manuka honey bee venom nutrisi melembabkan rawat bibir kering pecah pecah kaya avocado vitamin e jaga elastisitas samar garis bibir sekaligus halus tekstur bibir jadi lembab kenyal formulasi mudah serap lengket buat lip serum nyaman guna hari bahkan bawah lipstick sekalipun how to use oles guna aplikator guna kapan kamu mau langsung guna guna lipstik hidrasi halus bibir suitable for dry chapped lips consistently parched flaky lips lips that are always in air conditioned spacesingredients petrolatum aqua cyclopentasiloxane polysorbate cera alba dipentaerythrityl tri polyhydroxystearate flavour cetearyl alcohol cetyl alcohol phenoxyethanol tocopheryl acetate prunus amygdalus dulcis oil cocos nucifera coconut oil glycerin propolis extract ethylhexylglycerin butylene glycol persea gratissima fruit extract honey manuka extract sodium benzoate citric acid potassium sorbate bee venom as melittin one of my holy grail product selalu repurchase kali kali sangat bantu melembabkan bibir kering kerontang darah sensitif bikin iritasi tipe lip serum serap dalam bibir bukan dar duduk muka bibir jadi sangat bantu bibir kering pecah pecah a must try product enak banget aku sengaruh baik bibir kering pecah pecah darah trus aku suka pakai as base lip jadi pas timpa lipstick bibir jadi glossy aplikatornya enak trus kemas kokoh enak bawa pergi kurang turut cuma ekspektasiku sama formula gak sesuai aku kira warna kuning madu nya tp formula produk warna putih gak sensasi madu wqwq beli mutiara cosmetics jadi ndak beli produk dukung g e alih somethinc giur bee power pikir madu produk lumayan bantu malam hari pakai lipstick make over matte hari rajin pakai tiap malam apply lipstick make over repurchase no bibir lihat lebih cahaya sehat beri kesan awet muda cari seluruh somethinc bee power propolis glow lip serum bukti diri pilih luar biasa rawat kulit bibir sangat rekomendasi produk siapa cari serum efektif kurang garis halus kerut area bibir lipbalm suka aku wangi enak terus gak lengket minyak gitu bibir gak becek banjir gitu rasa terusss bikin bibir tetap lembab jarang kering aku udah punya ahaha saking suka karna baguss ih rada susah nyari lipbalm feelsnya kaya gin sleeping mask kandung korean propolis bee venom manuka honey trehalose cegah dehidrasi rusa kulit produk guna semua jenis kulit utama kulit bejerawat merah iritasi sukak cukup tipis jadi kadang suka timpa vaseline original repairing jelly kalo malam tuh y gitu kalo vaseline kan pure occlusive somethinc lip kan udah complete moisturizer humectant nya jugak kemas kecil mau yg gede dipake rumah kalo lip moisturizer yg spf iy butuh kemas kecil buat bawa bawa tas utk reapply panjang hari minus ny kurang well stay in place yah after pulas geser geser bleber makanya gak kasi bintang pake combo somethinc bee lip serum vaseline pure jelly utk maintain hari hari bibir lembab bibir super kering pake lip serum pelembab bibir lain selalu top it off with vaseline pure jelly kalo pas kering nya pake pelembab bibi vaseline pure jelly yah like yg sebut atas si somethinc bee lip tipis betul lebih tepat nama nya lip serum bukan lip balm pelembab bibir yah
Ointment,Watermelon,pure paw paw ointment salep serbaguna fungsi lembap bibir pecah pecah atas kulit kering bantu sembuh luka ringan hingga luka bakar ringan krim kutikula atas ruam kulit bayi pakai popok lilin wax bebas wangi buat how to use aplikasi tipis tipis area kering alami luka ringan efek maksimal guna sering mungkin henti guna jadi iritasi pakai luar ingredients sodium benzoate potassium sorbate petrolatum flavour cera alba carica papaya fruit extract wanginyaa harum kaya bubblegum jd pen ngunyah sangat melembabkan bibir kering jan harap efek cerah bibir atau jenis yaaa emang buat melembabkan sih kaya concernnya dipake bagi tubuh yg lg kering jugaa best aku pake waktu bibir kering poll susah banget nge moist bibir aku nah betul dapet rekomen nih product langsung deh aku cobaa nyata gong banget enak wangi dann ga lengket pake banyak ga ganggu the bestt sih suka cocok banget buat kalian punya bibir kering area kulit kering karna tuh multifungsi banget buat sunburn nyata but kalian punya baby banget digunain buat ruam popok bekas luka ngebedain variantnya wangi ajaa sih jauh baru dipake bagi kulit luka habis cakar kucing kulit kering sensitif sampe gatel suka banget ngurangin rasa perih gatal dipakein tube cukup ramping jadi travel friendly wangi ga kaya semangka buat ga ganggu sih cukup subtle definitely first care buat kulit kering kaya aku lembab lembab lembab lembab banget buat aku suka poll pakek pakai lebih bulan sisa banyak terus kalau timpa sama lipstik enak gak bikin kering kadang beberapa lipstik pakai pelembab bikin kering bangettt
Magic Pink Lip Balm,Strawberry,silkygirl magic pink lip balm lip balm warna beri warna pink alami bibir formula beri kelembaban bibir lama jam kaya kandung vitamin e kaya anti oksidan jojoba oil cegah bibir kering pecah pecah kaya kandung shea butter oil tahan kelembaban kenyal bibir macadamia ternifolia see oil bantu halus lembut bibir kandung wangi how to use aplikasi lip balm langsung bibirsuitable for bibir keringingredients isi emang kecil jujur bagus banget apply warna natural pink lucu gitu cocok banget buat cowok kesan pink alami gitu pas nge apply suka sama bau manis nimpalin pakai lip serum joss sih lembap awet ampe pulang kerja trus smisal gabung sama lip tint mlbb nya silky warna lebih long last malam silky girl magic lip balm bibir tetap lembab bewarna pakai lip balm bibir hitam kering cocok si buat laki laki bibir lihat lembab bewarna pink seksi guna aku si gosok gigi bibir sikat pelan baru deh pake silky girl jadi bikin bibir ga pucat gitu long lasting bgt bibir warna kelembabannya udah pake jaman sma sampe sekarang udah kuliah semester akhir wkwkw sempet ganti dulu ujung tetep balik melembabkannya dapet ringan banget bibir ga greasy sama sekali sesuai nama lipbalm beneran magic awal ga warna diswatch bibir jadi warna pink natural wangi soft banget biasa aku ganti ganti sama varian cherry aku sama aja gakeliatan beda wangi ga strong banget kalo waktu dulu pertama kali aku pake rasa mintnya gtu lumayan strong lebih seger bukan pedes bikin ganyaman sekarang ga rasa mint sama sekali produk beneran ngelembab in bibir aku kering tuh warna putih gitu kan aplikasi bibir warna bakal ubah jadi pink gitu warna pinknya norak sama sekali bagus banget salah satu lip balm cinta aku banget harga murah dulu waktu sma kan gaboleh pake lip tint jadi lip balm alternatif aku unruk gantiin lip tint udah abis stick formulasi lama sensasi mintnya jadi bibir asa lebih plump trus warna sheer jadi aman aman aja dipakenya bikin efek bibir sehat kalo baru sekarang sensasi mintnya udah gaada trus warna terlalu ngepink jujur lebih suka formulasi lamaa banding uang sekarang super magic lip balm aku pakai pas jaman smp biar bibir ga liat pucet banget ga liat pakai lipstik pas apply sensasi cool nya ga lama langsung liat kalau bibir jadi pink pas pakai tuh moist natural bangett pakai awet lebih bulan harga worth it gampang cari ofline store dulu sering repurchase produk jatuh cinta banget emang bagus awal tarik beli liat kemas yg lumayan cute sih menurutky lebih cute si lip ice sebenernya hampir mirip turut sama sama melembabkan nutrisi ngasih warna pink alami bibir beda si silky girl waktu dipake tuh kek sensasi pedes mint gitu bibir aku suka sih so turut produk lumayan rekomen lah aku beli waktu malaysia lumayan ngelembapin warna situ aku suka banget kayak lumayan bold buat buah lip balm apa makanya efek lembapinnya kurang kalau luar bisa kalau ruang ber ac kurang
